작성자,리뷰내용,방문일,방문횟수,인증
MasterMason,엄청 친절하고 상냥해요,2025년 9월 11일 목요일,2번째 방문,
용용952,,2025년 12월 1일 월요일,6번째 방문,
sky****,매장이 넓고 좋아요,2026년 1월 4일 일요일,1번째 방문,
써나맘,굿 ~~~~좋아요 ~~~,2025년 11월 6일 목요일,5번째 방문,
jo****,손님 배려가 부족했고 시원한 한 잔 했다.,2025년 7월 29일 화요일,2번째 방문,
im****,폭염 상승으로 피곤해서 시원한 한 잔을 즐겨 마셨다.,2025년 7월 29일 화요일,2번째 방문,
포도ㄹ,.,2025년 8월 26일 화요일,55번째 방문,
달달한돼지력,"개롱역에서 살짝 떨어진 거리에 있는데 대로변이라 눈에 잘 보이고 사람이 많아요.
1층짜리 매장인데 내부 좌석은 꽤 많아요.
화장실은 건물 1층에 있는걸 쓰고 열쇠가 카운터에 있어요.
조각 케이크 포장하면 박스에 깔끔하게 담아줘 선물하기 좋아요.",2025년 2월 1일 토요일,3번째 방문,
러블리288,진짜 맛있어요!,2025년 7월 17일 목요일,2번째 방문,
Hailey44,공간이 여유로움,2025년 7월 9일 수요일,2번째 방문,
러블리288,바질토마토베이글 포장했어요!,2025년 6월 26일 목요일,1번째 방문,
왕맨듕,"망고패션프루트
아이스카페라떼",2025년 6월 7일 토요일,26번째 방문,
왕맨듕,"아메리카노
망고패션프루트
가나슈9레이어케이크

닌텐도 함께 하기 좋은 공간",2025년 5월 3일 토요일,22번째 방문,
워터사피언스,덥고 출출할땐 아라 벤티가 정답,2025년 6월 18일 수요일,45번째 방문,
왕맨듕,"망고패션프루트
아메리카노 아이스",2025년 5월 24일 토요일,25번째 방문,
러블리288,맛나요 맛나,2025년 8월 29일 금요일,7번째 방문,
dms****,,2025년 8월 10일 일요일,1번째 방문,
소상공인365,굿,2025년 8월 8일 금요일,2번째 방문,
왕맨듕,"스파클링 애플주스 / 296ml
- 머그컵 + 얼음
아메리카노",2025년 5월 10일 토요일,23번째 방문,
le****,넓은 매장이라 좋아요,2025년 6월 19일 목요일,5번째 방문,
스카이라운지,,2025년 10월 8일 수요일,5번째 방문,
왕맨듕,아이스 아메리카노,2025년 6월 14일 토요일,27번째 방문,
HR9923,역세권 스벅이라 좋아요,2025년 7월 27일 일요일,4번째 방문,
써나맘,굿 ~~~좋아요 ~~~,2025년 9월 11일 목요일,4번째 방문,
가온다은누리,"너무 더워서 스벅 왔어요.
일요일 조용하고 좋네요.
자리도 많이 있어요.",2025년 7월 27일 일요일,3번째 방문,
왕맨듕,"망고 바나나
아메리카노

전혀 신경 안 썼는데
4100원 아메리카노는 언제가 마지막이었을까?",2025년 4월 12일 토요일,21번째 방문,
프리티데이 뷰티,"주문받는 직원이 일하는게 힘드신가봐요
고객이 말하는건 무시하고 스벅매니아인데 여기직원분 같이 친절하지 않은분은 처음 보네요
진짜 별로 에요
아니 고객이 모르면 알려줘야지 그럼 거기서 왜일하는거에요?",2025년 4월 15일 화요일,1번째 방문,
lyg****,커피가 맛있어요,2025년 5월 25일 일요일,1번째 방문,
no1ns,커피멋있어여 ㅎㅎ,2025년 6월 3일 화요일,4번째 방문,
열미90,기본은하는 스타벅스,2025년 5월 18일 일요일,2번째 방문,
러블리288,맛나요 맛나!,2025년 7월 29일 화요일,4번째 방문,
스누피549,"역시 커피는 스타벅스.
넓고 편안해요",2025년 4월 10일 목요일,2번째 방문,
HR9923,커피 한 잔의 여유~,2025년 6월 29일 일요일,3번째 방문,
왕맨듕,"복숭아 아이스티
아메리카노",2025년 4월 5일 토요일,20번째 방문,
해피 하트,텀블러에 받으면 400원 할인이에요.따뜻한 커피 맛있어요.,2025년 3월 29일 토요일,1번째 방문,
스누피549,매장이 넓어서 편안해요 창밖이 보여서 좋아요,2025년 3월 24일 월요일,1번째 방문,
Normal people,,2025년 4월 28일 월요일,15번째 방문,
복숭아4223,동생이랑 소이라떼 한잔씩~~매장이 도로변이라 접근성이 좋아요,2025년 4월 27일 일요일,2번째 방문,
왕맨듕,아이스 라떼,2025년 5월 17일 토요일,24번째 방문,
다니917,좋아요,2025년 5월 26일 월요일,4번째 방문,
hkdlye,,2025년 4월 27일 일요일,34번째 방문,
아이리스8243,"시즌메뉴인 해리포터 승강장케이크를 먹으러 방문했다
새콤달콤한 케이크도 맛있었지만
이미지와 달랐던 슬리데린 티가 의외로 맛있었다",2025년 1월 26일 일요일,5번째 방문,
jwb****,근처에볼일잇어서 급 커피수혈을하고싶어서 다녀왓어요,2025년 3월 5일 수요일,1번째 방문,
예쁜서우공주,사람많아용,2025년 5월 8일 목요일,3번째 방문,
xdreamx,혼자 일하며 글 쓰기에는 참 좋은 곳이다,2024년 12월 6일 금요일,6번째 방문,
som****,항상 애용합니다~,2025년 3월 22일 토요일,1번째 방문,
정세훈1263,맛있어요,2025년 4월 27일 일요일,40번째 방문,
허하라,조금 산만해요 시끄럽고 나랑넘 안마자 안마자,2025년 2월 18일 화요일,3번째 방문,
붉은단풍,바닐라라떼 맛나요,2025년 3월 19일 수요일,11번째 방문,
예쁜서우공주,좋아용,2025년 5월 1일 목요일,2번째 방문,
왕맨듕,"복숭아가득핸디젤리
아메리카노
젤다의 전설 : 지혜의 투영",2024년 12월 14일 토요일,16번째 방문,
Sunny777sun,"전 동두천 DT매장을 1년동안 다녔던 바리스타로써
스타벅스 매니저분들을 좋아하고 소통을 좋아해요!
처음 갔는데 너무 친절하게 대해주셔서 아, 역시 스타벅스구나 라고 다시 한번 느낄수 있었어요 🤭
다른일 때문에 스타벅스를 1년다니고 퇴사 했지만
언제가 다시 스벅에 돌아올 파트너 입장으로써
오늘 너무 친절하게 대해주셨던 치즈부점정님 , 상무 슈퍼바이저님 정말 감사합니다 !
옛날 스타벅스에 일했던 기록이 새록새록 떠올랐고
무엇보다 이 매장에 다시 입사하고 싶은 생각이 들었습니다! 모든 스타벅스 파트너분들 응원하고 존경하고 사랑합니다 ~~~~~~🤭💗🫶🏻",2024년 10월 29일 화요일,1번째 방문,
tlaqk,좋아요,2025년 4월 26일 토요일,8번째 방문,
세만만이볶떡,오전에 가야 조용해요,2025년 3월 9일 일요일,3번째 방문,
왕맨듕,따뜻하게 몸 녹이며 아이스,2024년 12월 28일 토요일,17번째 방문,
왕맨듕,"아메리카노
복숭아 핸디 젤리",2025년 1월 25일 토요일,19번째 방문,
jis****,ㅎ~,2025년 5월 17일 토요일,1번째 방문,
하나별후,다 마심,2025년 6월 15일 일요일,1번째 방문,
아이리스8243,"울동네 단골카페 스타벅스
시즌메뉴인 딸기라떼와 스노우매 바움쿠엔을 먹기위해 방문했다
눈사람 바움쿠엔은 너무 귀여워 먹는게 아까울 정도였다
딸기라떼는 맛있음~",2024년 12월 6일 금요일,4번째 방문,
붉은단풍,직원분이 친절해서 좋아요,2025년 1월 11일 토요일,9번째 방문,
행복한나날들37,"캬 낼 스승의날이라 그런지
카드충전하러왓는디
거여역점은 3시인디 카드없어서
개롱으로옴
여긴 넉넉하군요 굿",2025년 5월 14일 수요일,3번째 방문,
황박사홧팅,커피 맛있어요,2025년 4월 27일 일요일,1번째 방문,
찬이4874,케이크 맛있어요,2025년 2월 2일 일요일,1번째 방문,
hjb****,좋습니다.,2025년 3월 22일 토요일,2번째 방문,
세만만이볶떡,집근처라 가끔감,2025년 2월 11일 화요일,2번째 방문,
눈꽃66,지인과 편하게 애기할수있어 좋아요,2025년 2월 17일 월요일,2번째 방문,
yjyw,굿,2025년 6월 13일 금요일,24번째 방문,
ghj****,"친절하고 맛이 다르고
카페인 적어 좋아요",2025년 6월 24일 화요일,6번째 방문,
망고스틴8,,2025년 2월 25일 화요일,1번째 방문,
Latill,1층이고 소음이 좀 크긴해요,2025년 1월 8일 수요일,1번째 방문,
똑똑박사70,맛있어요,2025년 2월 25일 화요일,2번째 방문,
붉은단풍,더블에스프레소더블라떼 강추입니다.,2024년 11월 16일 토요일,6번째 방문,
포도ㄹ,점심에 자주가요,2024년 12월 12일 목요일,44번째 방문,
think9586,,2025년 2월 15일 토요일,1번째 방문,
똑똑박사70,,2025년 2월 11일 화요일,1번째 방문,
왕맨듕,아메리카노 톨사이즈,2025년 1월 4일 토요일,18번째 방문,
나팔꽃53,새건물이라 깔끔하고 편안합니다,2024년 11월 25일 월요일,1번째 방문,
붉은단풍,추운 겨울 스벅 뜨아는 필수랍니다.직원분들 친절하고 바로 나와 좋네요,2024년 11월 30일 토요일,7번째 방문,
rok****,"치킨브레스트샌드위치를 먹다가 안쪽 패티가 너무 차가워서 다시 데워기를 요청드렸지만, 위생상의 문제로 어렵다는 대응만 있고, 교환도 없이 구매한 사람쪽 책임으로만 돌리는 것은 대응방법이 맞지 않다고 생각합니다.
데우는 공정자체에 있는 가게문제를 제대로 인식해주셨으면 합니다. 위생상의 문제라는 부분은 충분히 이해가지만 이쪽도 상품을 구매한 사용자입니다.
이런곳은 다시는 방문하고 싶지 않습니다.",2024년 12월 15일 일요일,1번째 방문,
워터사피언스,추울땐 라떼,2025년 2월 7일 금요일,42번째 방문,
ah****,커피가 맛있어요,2025년 3월 15일 토요일,1번째 방문,
goodwill1445,가끔 오는데 매장 분위기가 좋아요,2024년 11월 14일 목요일,1번째 방문,
19****,맛있어요,2025년 2월 9일 일요일,5번째 방문,
cje****,좋아요,2025년 4월 20일 일요일,2번째 방문,
도영공주,친절해요,2025년 1월 29일 수요일,1번째 방문,
왕맨듕,"카페라떼
클라우드치즈
애플주스",2024년 11월 16일 토요일,14번째 방문,
Overwhelming,"자주 들르는 매장이에요. 좌석이 많고, 주문ㆍ픽업이 빨라서 좋아요~",2024년 11월 24일 일요일,2번째 방문,
오리가방46,,2025년 1월 11일 토요일,1번째 방문,
와이트,스타벅스는 마음이 편해요,2024년 11월 5일 화요일,13번째 방문,
Normal people,치즈포크커트릿샌드는 처음 먹어 봤는데 좀 짜지만 맛나네요ㅋㅋ,2024년 8월 6일 화요일,11번째 방문,
wkd****,,2025년 4월 15일 화요일,16번째 방문,
왕맨듕,"핫초코 아메리카노 클라우드치즈케이크
클라우드 치즈케이크 맛있음",2024년 9월 21일 토요일,13번째 방문,
bec****,좋아요,2024년 12월 15일 일요일,4번째 방문,
포도ㄹ,굿,2024년 12월 6일 금요일,43번째 방문,
배불러88,돌체라떼 달달하고 맛있어요,2025년 2월 8일 토요일,1번째 방문,
허니후니뿌,"매장넓고 쾌적하고 좋아요 ^^

주차 빼고는 만족해요",2024년 9월 16일 월요일,2번째 방문,
cje****,"질문에 조금 친철하게 답해주시면 좋겠네요
요즘 고객응대 교육을 잘 안하는지..",2025년 1월 12일 일요일,1번째 방문,
yjyw,고구마카스테라케잌 부드럽고 많이안달아서 좋아요,2024년 12월 28일 토요일,23번째 방문,
골마35,조아요,2025년 1월 29일 수요일,5번째 방문,
yy****,집앞이라 자주이용하는데 불친절한직원이 가끔있어요.오늘이었네요. ㅉㅉ,2024년 12월 8일 일요일,17번째 방문,
왕맨듕,"쿨라임FIZZ
아이스아메리카노
티라미수",2024년 9월 15일 일요일,12번째 방문,
kjh****,Good~!,2024년 12월 14일 토요일,1번째 방문,
Mai Yoo,"커피가 진하고 맛있어요.
라떼는 샷추가하는게 좋아요.",2024년 9월 20일 금요일,1번째 방문,
겨울 소나무야,직원분 친절해요~,2024년 11월 13일 수요일,1번째 방문,
러블리찐찐,"스벅..은 말안해도 디 아시죠?
여긴 나의 특별한 아지트 자리가 있음 ㅎㅎㅎ",2024년 10월 13일 일요일,1번째 방문,
워터사피언스,카페랴테 좋다,2024년 10월 14일 월요일,40번째 방문,
왕맨듕,카페모카,2024년 11월 23일 토요일,15번째 방문,
써니니니,지나갈일이 있으면 들르는곳.,2024년 9월 11일 수요일,2번째 방문,
두서비맘,동네 스타벅스치고 항상 사람도 많고 편리하게 이용할 수 있어서 좋아요,2024년 8월 31일 토요일,2번째 방문,
워터사피언스,추ㅜㄹ땐 따라,2024년 11월 18일 월요일,41번째 방문,
한줄기 빛82,스벅,2024년 11월 17일 일요일,3번째 방문,
Normal people,시원한 아이스 아메리카노 한잔,2024년 8월 2일 금요일,10번째 방문,
Artistcoder,친절함요,2025년 4월 29일 화요일,1번째 방문,
mun****,,2024년 11월 2일 토요일,1번째 방문,
77별,,2024년 10월 23일 수요일,54번째 방문,
쫑쫑할미,"여느 스벅매장과비슷ᆢ좀더넓고ᆢ내부가조금산만한느낌
연령층은다양해보임ᆢ",2024년 8월 25일 일요일,1번째 방문,
Flyhigh4768,직원분들이 너무 친절해요.,2024년 9월 14일 토요일,6번째 방문,
얼어붙은 봄날,주차가 안되네요 ㅠ̑̈ㅠ̑̈ 불편해요;; 잠깐 앞에 세우고 커피 사왔어요,2024년 10월 26일 토요일,3번째 방문,
라모31,자주가요,2024년 11월 30일 토요일,1번째 방문,
jesusinyou,굿,2024년 11월 14일 목요일,2번째 방문,
왕맨듕,"항상 사람이 많은 곳
그래서 여름엔 시원할 수 밖에 없는 곳",2024년 7월 6일 토요일,10번째 방문,
아이리스8243,"찜통더위 속에서
시원한 커피 한잔의 여유를 즐길 수 있는곳
레인보우 케이크도 맛있게 먹었다",2024년 8월 4일 일요일,3번째 방문,
포도ㄹ,좋아여,2024년 9월 24일 화요일,41번째 방문,
petty2534,,2025년 1월 2일 목요일,2번째 방문,
대인배42,"한동안 잊고 있었던 스타벅스 프리퀀시 상품에 대한 사랑이 샘솟아, 이벤트를 위해 에스프레소와 밀크티 블렌디드를 시켰습니다ㅎㅎ 귀여운 텀블러를 개시했더니 기분 째지네요😆",2024년 6월 19일 수요일,2번째 방문,
Normal people,더운날 스벅에서 커피한잔,2024년 7월 14일 일요일,8번째 방문,
메셀,"집서 가까운거 빼면 구닥 ㅡㅡ;

산만해, 시끄러, 카공으로는 완전 부적합",2024년 8월 17일 토요일,1번째 방문,
le****,모임하기좋은 긴 테이블이있어 좋아요,2024년 7월 28일 일요일,4번째 방문,
왕맨듕,포크커틀릿 치킨치즈 샌드위치 아메리카노 라임이 들어간 상큼한 에이드,2024년 7월 27일 토요일,11번째 방문,
민마담83,긋~~~,2024년 9월 26일 목요일,20번째 방문,
복숭아4223,커피 테이크 아웃해서 갑니당~^^ 매장이 아늑하니 좋아요~,2024년 8월 18일 일요일,1번째 방문,
yjyw,동네편하게갈수있는카페. 음료맛집,2024년 10월 1일 화요일,22번째 방문,
한줄기 빛82,아아&베이글,2024년 9월 28일 토요일,2번째 방문,
민마담83,굿~~~,2024년 9월 5일 목요일,19번째 방문,
Normal people,커피가 맛있어요,2024년 7월 31일 수요일,9번째 방문,
양갱뇸뇸,맛있어요,2024년 9월 23일 월요일,6번째 방문,
4hlee,괜찮아요,2024년 11월 14일 목요일,2번째 방문,
Hailey44,화이트모카 프라푸치노 굿 🕶,2024년 6월 22일 토요일,1번째 방문,
kkyyoo77,스벅요,2024년 9월 9일 월요일,8번째 방문,
juna17,넓어서 좋았어요,2024년 9월 20일 금요일,1번째 방문,
토토로리,스벅 커피,2024년 9월 3일 화요일,6번째 방문,
sos****,좋아요,2025년 1월 16일 목요일,4번째 방문,
searchingJMT,리코타 소금빵 샌드위치 첨 먹어봤는데 리코타 치즈는 역시나 맛있구요👍🏻👍🏻 안에 들어있는 저 갈색 양파..?같은 건 별루였어요.. 빼고 먹었슴다! 슈크림 라떼는 언제나 맛있구용ㅎㅎ 단거 미쳐인간으로써 초코드리즐도 잔뜩 추가해봤어용👍🏻,2024년 3월 13일 수요일,7번째 방문,
rnfejr5596,굿,2024년 9월 13일 금요일,7번째 방문,
은하수9652,커피가 맛있어,2024년 9월 11일 수요일,1번째 방문,
Flyhigh4768,레인보우케이크 좋아요~,2024년 8월 17일 토요일,5번째 방문,
워터사피언스,바나나가 ㄷ살짝 덜익었디.,2024년 6월 24일 월요일,38번째 방문,
두서비맘,필요했던 음료를 물어보니 친절하게 설명해주셔서 메뉴판에 없던 메뉴지만 신제품을 먹어볼 수 있었어요,2024년 6월 23일 일요일,1번째 방문,
PPPPPP1,,2024년 8월 31일 토요일,1번째 방문,
kkyyoo77,개롱역스벅 사람 많아요,2024년 7월 10일 수요일,7번째 방문,
스카이라운지,좋아요,2024년 11월 7일 목요일,4번째 방문,
송죽31,지인들과 만나기좋아요,2024년 8월 8일 목요일,9번째 방문,
yj****,굿,2025년 1월 16일 목요일,1번째 방문,
searchingJMT,바질토마토베이글 너무 맛있옹ㅎ,2024년 4월 26일 금요일,9번째 방문,
얼어붙은 봄날,"송파개롱역점 스타벅스 첫방문~ 매장이 샹각보다 넓어요~~ 역시나 직원분들 친절해요!
요즘 환경보호를 위하여 개인텀블러 이용합니다😁 덤으로 할인도 되고 별도 쌓이고🧡",2024년 5월 22일 수요일,1번째 방문,
neb****,좋아요,2024년 9월 11일 수요일,1번째 방문,
yjyw,주말이라그런지 어수서했네요. 음료는 좋아요,2024년 8월 17일 토요일,21번째 방문,
lka****,자주이용해요,2024년 8월 16일 금요일,1번째 방문,
bec****,소이라떼 맛있어요~,2024년 6월 1일 토요일,3번째 방문,
뚜벅이 미니,"개롱역 근처 스벅
이 이른오전시간에 연 카페가 여기뿐이라그런지 사이렌오더할때마다 대기번호가 항상 5번째 이후",2024년 3월 16일 토요일,1번째 방문,
chj****,굿,2024년 11월 7일 목요일,4번째 방문,
와이트,피스타치오 무스 맛있네요😁,2024년 5월 19일 일요일,12번째 방문,
hyrps,조어요,2024년 8월 11일 일요일,1번째 방문,
Flyhigh4768,쾌적하고 넓어서 좋아요. 친절직원,2024년 6월 21일 금요일,4번째 방문,
트리폴리스,좋아욧!,2024년 12월 25일 수요일,1번째 방문,
sorryc,커피 넘 맛나요^^,2024년 12월 9일 월요일,6번째 방문,
HR9923,개롱역의 랜드마크!,2024년 7월 26일 금요일,2번째 방문,
저곳엔,제주 말차 고소,2024년 6월 27일 목요일,1번째 방문,
토토로리,"카카오 쿠폰으로 평소 좋아하던 카모마일 티백 구매함~
스벅 차종류도 좋네요..",2024년 3월 31일 일요일,5번째 방문,
jy****,에그샌드위치 맛있음,2024년 7월 1일 월요일,25번째 방문,
왕맨듕,"스파클링 애플주스 얼음컵 담아 갑자기 더워진 봄날
시원하게 마셔보자 에어컨 빵빵 잘나와 편안한 휴식",2024년 3월 23일 토요일,7번째 방문,
ILUVU,좋아요,2024년 9월 15일 일요일,2번째 방문,
얼어붙은 봄날,반려견 산책겸 개롱역 근처로 걸어가면 있는 스타벅스𖤐,2024년 6월 16일 일요일,2번째 방문,
yy****,"제과점 큰케잌이 부담스러워 귀여운 케잌으로..
넓어서 대화하기좋아요",2024년 6월 27일 목요일,16번째 방문,
DAANI,직원 모두 친절하고 넓은 카페입니다. 이제 멀어져서 자주 못 가게 되어 아쉬워요🥲,2024년 4월 30일 화요일,4번째 방문,
Gloria6013,블루베리치즈케익 맛있네요~,2024년 4월 15일 월요일,1번째 방문,
Normal people,마감직전 급하게 커피수혈,2024년 5월 2일 목요일,6번째 방문,
잰잰92,이벤트 기간이라 디카페인 커피 원쁠원 받았어욤❤️,2024년 5월 3일 금요일,5번째 방문,
min****,,2024년 6월 10일 월요일,8번째 방문,
붉은단풍,뜨아 아아는 스벅이 좋아요,2024년 4월 20일 토요일,5번째 방문,
대인배42,직장 동료 혼인 축하 선물 사러 갔습니다ㅎㅎ 커피랑 컵 세트를 주니 좋아하더라고요ㅎㅎ,2024년 4월 22일 월요일,1번째 방문,
ck****,좋아요~,2024년 8월 9일 금요일,6번째 방문,
jy****,샌드위치맛있어요,2024년 6월 3일 월요일,23번째 방문,
