행안부코드,SGIS코드,행정동명
11710632,11010560,평창동
11710647,11010560,평창동
11710670,11010610,종로1·2·3·4가동
11710710,11010560,평창동
11710720,11010560,평창동
11740515,11010530,사직동
11740520,11010560,평창동
11740530,11080640,정릉3동
11740540,11010730,혜화동
11740570,11010570,무악동
11740580,11010530,사직동
11740590,11010560,평창동
11740600,11010720,청운효자동
11740610,11010560,평창동
11740650,11090690,삼양동
11740660,11010560,평창동
11740685,11010720,청운효자동
11740700,11010720,청운효자동
